"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TESC",-2.0569248322383,3.94153145988945,-7.84330369603475,2.6521724067648e-14,1.41991576231362e-11,21.3993402503063
"LGSN",-1.26247126294085,1.75159258051827,-7.82179638743088,3.08908421802908e-14,1.61030708618258e-11,21.2493248385803
"SIK1B",-1.06527784079897,2.11207717745224,-7.81854095161016,3.16113008356525e-14,1.62390917021328e-11,21.2266459560054
"CNGA3",-1.02110577580408,0.739509982952624,-7.81694045952677,3.19715571903265e-14,1.62390917021328e-11,21.2154988913733
"RET",-1.03654804135655,0.748647046536792,-7.75636796333713,4.90300230828813e-14,2.27633373573936e-11,20.7949404108214
"PCSK2",-1.63195676403815,0.804311794991283,-7.73027602674126,5.89001458953673e-14,2.71337904660775e-11,20.6145743558025
"AL121949.1",-1.36841432161025,2.06189144617797,-7.58092319356926,1.66779128693399e-13,6.86277203415895e-11,19.5913821575352
"BPIFA1",-3.19296804963821,4.19384597796344,-7.57822003959028,1.69926494121642e-13,6.91659025079918e-11,19.5730090137477
"FASN",-1.04982109553226,5.0401798862818,-7.5748123241021,1.73977713926394e-13,7.03331537789376e-11,19.549854433024
"RND1",-1.26285509787266,2.81827758215539,-7.56679034980073,1.8389408020987e-13,7.38396858421076e-11,19.4953797804987
"TCIM",-1.42479856207281,6.87289616231959,-7.51661595073897,2.59836359476859e-13,1.0026815152358e-10,19.1557038972741
"ENO3",-1.08004594978047,1.46140692360846,-7.46195281346058,3.77913510930791e-13,1.4304628161837e-10,18.7876921999345
"PLA2G10",-1.39034166007887,2.17378953083617,-7.44634166253994,4.20424682056927e-13,1.56153609878731e-10,18.6829866805408
"ATOH8",-1.11222163666709,1.77169342922273,-7.35117054777305,8.02248092601653e-13,2.78802323970985e-10,18.048472359834
"AKR7A3",-1.53099052005945,1.93958701702635,-7.3497508294614,8.09979053106678e-13,2.79852472028899e-10,18.0390566562648
"MAOA",-1.17521661432538,4.29926456895842,-7.30168465946205,1.1197494148211e-12,3.69685269303187e-10,17.7211427443509
"ALDH3B1",-1.05457157083726,3.98722119959373,-7.28730666281934,1.23325745273501e-12,3.98308644802628e-10,17.626372642699
"NNMT",-1.1213192248949,5.70354393740691,-7.19005032343674,2.36055057459871e-12,6.97912631824266e-10,16.9892993964069
"DACT2",-1.07227444946337,1.14609812816988,-7.17180305034734,2.66432029926125e-12,7.7235396304487e-10,16.8705459817009
"FGG",-2.65891018359197,4.05310317000783,-7.15699832114328,2.93876325867526e-12,8.4368059987099e-10,16.7743771514706
"LINC02489",-1.09076838145846,1.46672808888596,-7.06870841684327,5.25603091482343e-12,1.41977340534187e-09,16.2042305276984
"MSLN",-2.57563287121949,5.32439750712432,-7.0189869508544,7.27398197568471e-12,1.90427721087672e-09,15.8856962668969
"CPE",-1.29615328461621,4.94619019011683,-6.96203671654576,1.05303146387341e-11,2.61834731395838e-09,15.5231217169079
"PLA2G4A",-1.34539097593077,3.67374421684145,-6.91958383656632,1.38528792569954e-11,3.36014308410395e-09,15.2544279939348
"SERPINF2",-1.03903773081883,2.82784381417045,-6.88450853342194,1.73583360809649e-11,4.02950718079493e-09,15.0334525272439
"LINC02866",-1.21568270586609,0.883159097248077,-6.87295339564264,1.8693749838373e-11,4.27274412171151e-09,14.96085818578
"MUC4",-1.25662086657089,2.29887492997034,-6.85093342407474,2.15237341534745e-11,4.8267583001454e-09,14.8227988287807
"CIT",-1.00159876826809,2.07662726458719,-6.83887710237163,2.32472448439398e-11,5.17420981026521e-09,14.7473644457772
"TFF1",-2.26257673821585,2.17137387181566,-6.77564269335731,3.4759200478795e-11,7.51140002492127e-09,14.3535245515406
"MISP",-1.03908007809889,4.33660506083662,-6.74802065677021,4.13978147485518e-11,8.84945301101506e-09,14.1824427533696
"BPIFB2",-1.55209138080677,1.27815268833632,-6.63825664291754,8.24476485984601e-11,1.6332054710869e-08,13.508370878395
"ASCL1",-1.66816730257719,0.957330940418881,-6.60575851363652,1.00928171909433e-10,1.95369982803319e-08,13.3105735179575
"INSL4",-1.05040610667255,0.550233893729522,-6.54793084066508,1.44362086869811e-10,2.70631095785877e-08,12.9606278385044
"LPL",-1.22365281551338,3.0738988411937,-6.54108645053495,1.50583865672372e-10,2.80524996404766e-08,12.919380271136
"ID1",-1.11283730638096,5.05928531124264,-6.53491518646281,1.56418576009743e-10,2.89579025437103e-08,12.8822204495963
"ELAPOR1",-1.35644143051367,2.80689116862548,-6.50829792618525,1.84227260073638e-10,3.35830471913989e-08,12.7222855138298
"HGD",-1.39653303282056,2.21215257809514,-6.4666185770597,2.37774900172471e-10,4.26895739956177e-08,12.4729548325857
"AKR1C2",-2.26106570529699,2.68741890409677,-6.40628479116034,3.43209890197317e-10,5.86215162082781e-08,12.1144340801783
"KLK12",-1.4833318592132,1.03267267186301,-6.38109206482729,3.99723233343565e-10,6.63529401896873e-08,11.9655755343248
"NR4A1",-1.06561667209429,3.4077114319215,-6.33484372683153,5.28128355506879e-10,8.41423157713332e-08,11.693602129514
"AMBP",-1.1450806982122,1.23517445480312,-6.12554582585229,1.82520538978903e-09,2.50499955424926e-07,10.4839440769184
"SPDEF",-1.20330886121585,3.8693893828664,-6.03933935911243,3.01201653167611e-09,3.89967552130537e-07,9.99586945816141
"MUC5B",-1.85087497187334,3.09527492267803,-5.98787835650686,4.05061530702164e-09,5.0143095296721e-07,9.70736330034992
"PAEP",-2.06374470993829,2.67706315710628,-5.93532242191742,5.47006173749463e-09,6.41315709238917e-07,9.41492790349199
"HPN",-1.02259542220474,3.65982511431667,-5.92586870864637,5.77246498745251e-09,6.70000540643242e-07,9.36256243457951
"FGB",-2.02931878436034,1.91929218333569,-5.90851992325701,6.37040676074365e-09,7.23851171263313e-07,9.26665379917344
"KLK14",-1.14339226592765,0.855338057789,-5.85669179345766,8.53950876870995e-09,9.31151169904819e-07,8.98159243918643
"AGR2",-1.31814949236948,7.02548934214509,-5.85490981160917,8.62565805016619e-09,9.34943229287143e-07,8.9718302267903
"PCSK1",-1.19268273873959,0.818879724945338,-5.78837256264461,1.25252023879431e-08,1.26587619440187e-06,8.60917680531021
"SLC16A4",-1.00608125212457,3.06721548043657,-5.75583430200267,1.50123269490489e-08,1.48195606910486e-06,8.43315074452232
"NPW",-1.01191414011343,1.22007839000289,-5.70543812036861,1.98409468154317e-08,1.85100148571532e-06,8.16223361894621
